153,4,Ferland-Mendy,23,2
154,4,Eder-Militao,3,2
155,4,Modric-Luka,10,3
156,4,Nacho-Fernandez,6,2
157,4,Alvaro-Odriozola,19,2
158,4,Diego-Pineiro,45,1
159,4,Rodrygo,27,4
160,4,Sergio-Santos,79,4
161,4,Dani-Ceballos,8,3
162,4,Toni-Fuidias,40,1
163,5,Marcos-Alonso,3,2
164,5,Kepa-Arrizabalaga,13,1
165,5,Azpilicueta-Cesar,28,2
166,5,Ross-Berkly,8,4
167,5,Markus-Bettinelly,13,1
168,5,Timo-Werner,11,4
169,5,Jorginho-II,6,3
170,5,Hakim-Ziyech,22,4
171,5,N-Golo-Kante,7,3
172,5,Robert-Kenedy,23,3
173,5,Mateo-Kovacic,17,3
174,5,Andreas-Christensen,6,2
175,5,Romelu-Lukaku,18,4
176,5,Mason-Mount,19,3
177,5,Edouard-Mendy,16,1
178,5,Saul-Niguez,8,3
179,5,Christian-Pulisic,10,4
180,5,Antonio-R%C3%BCdiger,16,2
181,5,Malang-Sarr,31,2
182,5,Thiago-Silva,2,2
183,5,Kai-Havertz,29,4
184,5,Callum-Hudson-Odoi,20,3
185,5,Trevoh-Chalobah,8,2
186,6,Ayrton-Lucas,6,3
187,6,Timur-Akmurzin,27,1
188,6,Zelimkhan-Bakaev,10,3
189,6,Mikhail-Volkov,95,1
190,6,Ilya-Gaponov,95,2
191,6,Daniil-Denisov,97,2
192,6,Georgy-Jikia,14,2
193,6,Andrey-Yeschenko,38,2
194,6,Samuel-Gigot,2,2
195,6,Roman-Zobnin,47,3
196,6,Mihail-Ignatov,0,4
197,6,Leon-Klassen,5,2
198,6,Maximiliano-Caufriez,3,2
199,6,Alex-Kral,33,3
200,6,Iliya-Kutepov,29,2
201,6,Jordan-Larsson,11,4
202,6,Iliya-Levchenkov,82,3
203,6,Ruslan-Litvinov,68,2
204,6,Aleksandr-Lomovitski,8,3
205,6,Aleksandr-Maksimenko,98,1
206,6,Dmitry-Markitesov,74,3
207,6,Daniil-Markov,91,1
208,6,Christopher-Pereira,17,3
209,6,Georgy-Melkadze,9,4
210,6,Stepan-Melnikov,77,3
211,6,Reziuan-Mirzoev,77,3
212,6,Victor-Moses,8,3
213,6,Shamar-Nicholson,19,4
214,6,Stepan-Oganesyan,84,4
215,6,Ezequiel-Ponce,9,4
216,6,Quincy-Promes,24,3
217,6,Danila-Prutsev,25,3
218,6,Nikolai-Rasskazov,92,2
219,6,Rebrov-Artem,32,1
220,6,Ilya-Svinov,88,1
221,6,Alexandr-Selikhov,57,1
222,6,Aleksandr-Sobolev-Ser,7,4
223,6,Fanil-Sungatulin,75,3
224,6,Nail-Umyarov,54,3
225,6,Jorrit-Hendrix,4,3
226,6,Daniil-Tlusevich,26,3
227,6,Nikita-Chernov,23,2
228,6,Vladislav-Shitov,73,4
229,7,Adrian-San-Migel,13,1
230,7,Trent-Alexander-Arnold,66,2
231,7,Alisson-Becker,1,1
232,7,Tiago-Alcantara-Nascimento,6,3
233,7,Owen-Beck,63,2
234,7,Conor-Bradley,84,3
235,7,Virgil-van-Dijk,4,2
236,7,Max-Woltman,82,4
237,7,Benjamin-Woodburn,58,3
238,7,Joe-Gomez,5,2
239,7,Kaide-Gordon,49,4
240,7,Curtis-Jones,48,3
241,7,Luis-Diaz,23,4
242,7,Elijah-Dixon-Bonner,69,3
243,7,Harvey-Davies,95,1
244,7,Diogo-Jota,18,4
245,7,Naby-Keita,8,3
246,7,Caoimhin-Kelleher,62,1
247,7,Ibrahima-Konate,6,2
248,7,Jarell-Quansah,78,2
249,7,Sadio-Mane,10,4
250,7,Joel-Matip,32,2
251,7,James-Philip-Milner,7,2
252,7,Takumi-Minamino,18,3
253,7,Tyler-Morton,80,3
254,7,James-Norris,93,2
255,7,Alex-Oksleyd-Chemberlen,15,3
256,7,Divock-Origi,27,4
257,7,Andrew-Robertson,26,2
258,7,Mohamed-Salah,11,4
259,7,Neco-Williams,3,2
260,7,Fabinho,3,3
261,7,Nathaniel-Phillips,5,2
262,7,Marcelo-Filho,6,2
263,7,Roberto-Firmino,9,4
264,7,Jordan-Henderson,14,3
265,7,Kostas-Tsimikas,21,2
266,7,Harvey-Elliott,67,4
267,8,Diego-Stramaccioni,322,9
268,8,Marley-Ake,38,3
269,8,Alex-Sandro,12,2
270,8,Rodrigo-Bentancur,30,3
271,8,Federico-Bernardeschi,33,3
272,8,Leonardo-Bonucci,19,2
273,8,Dusan-Vlahovic,28,4
274,8,Cosimo-Marco-Da-Graca,34,4
275,8,Danilo-da-Silva,13,2
276,8,Koni-De-Winter,45,2
277,8,Matthijs-de-Ligt,4,2
278,8,Mattia-De-Skillo,2,2
279,8,Paulo-Dybala,10,3
280,8,Kaio-Jorge,21,4
281,8,Denis-Zakaria,8,3
282,8,Franco-Israel,1,1
283,8,Moise-Kean,27,4
284,8,Juan-Guillermo-Cuadrado,16,3
285,8,Dejan-Kulusevski,21,4
286,8,Federico-Chiesa,25,4
287,8,Giorgio-Chiellini,3,2
288,8,Manuel-Locatelli,27,3
289,8,Weston-McKennie,2,3
290,8,Massimiliano-Allegri,322,9
291,8,Arthur-Melo,5,3
292,8,Fabio-Miretti,47,3
293,8,Alvaro-Morata,21,3
294,8,Luca-Pellegrini,17,2
295,8,Mattia-Perin,22,1
296,8,Carlo-Pinsoglio,21,1
297,8,Adrien-Rabiot,25,3
298,8,Marco-Raina,53,1
299,8,Filippo-Ranocchia,56,3
300,8,Ramsey-Aaron,8,3
301,8,Ronaldo-Cristiano,7,4
302,8,Daniele-Rugani,24,2
303,8,Matias-Soule,46,3
304,8,Nicolo-Fagioli,41,3
305,8,Zsombor-Senko,42,1
306,8,Wojciech-Szczesny,1,1
307,9,Dmitry-Barinov,6,3
308,9,Alexander-Golovin,17,3
309,9,Georgy-Jikia,14,2
310,9,Artem-Dzyuba,22,4
311,9,Igor-Diveyev,78,2
312,9,Yuri-Dupin,22,1
313,9,Roman-Yevgenyev,24,2
314,9,Rifat-Zhemaletdinov,17,3
315,9,Yuriy-Zhirkov,18,3
316,9,Anton-Zabolotnyy,9,4
317,9,Roman-Zobnin,47,3
318,9,Alexey-Ionov,11,3
319,9,Vyacheslav-Karavaev,15,3
320,9,Fedor-Kudryashov,13,2
321,9,Daler-Kuzyaev,14,3
322,9,Denis-Makarov,25,3
323,9,Alexey-Miranchuk,59,3
324,9,Maxim-Mukhin,76,3
325,9,Ozdoev-Magomed,27,3
326,9,Matvey-Saphonov,39,1
327,9,Andrey-Semenov,15,2
328,9,Aleksandr-Sobolev-Ser,7,4
329,9,Fernandes-Figueyra,2,2
330,9,Daniil-Fomin,74,3
331,9,Denis-Cheryshev,11,3
332,9,Shunin-Anton,1,1
333,10,Oliver-Abilgard,28,3
334,10,Marat-Apshatsev,18,3
335,10,Soltmurad-Bakaev,87,3
336,10,Silvije-Begic,4,2
337,10,Aleksey-Gorodovoy,93,1
338,10,Aleksey-Gritsaenko,27,2
339,10,Djordje-Despotovic,28,4
340,10,Anders-Dreyer,11,4
341,10,Yuri-Dupin,22,1
342,10,Georgi-Zotov,15,2
343,10,Alexander-Zuev,12,3
344,10,Vladislav-Ignatiev,20,3
345,10,Ivan-Ignatiev,85,4
346,10,Hwang-In-Beom,6,3
347,10,Artem-Ismagilov,54,1
348,10,Darko-Jevtic,8,3
349,10,Khvicha-Kvaratskhelia,21,3
350,10,Kirill-Klimov,13,4
351,10,Mikhail-Kostyukov,14,2
352,10,Daniil-Kuznetsov,49,1
353,10,Konstantin-Kuchayev,98,3
354,10,Vitaly-Lisakovich,44,4
355,10,Aleksandr-Lomovitski,8,3
356,10,Denis-Makarov,25,3
357,10,Nikita-Medvedev,30,1
358,10,Denis-Mikhailov,58,3
359,10,Leon-Musaev,38,3
360,10,Konstantin-Nizhegorodov,97,2
361,10,German-Onugkha,60,4
362,10,Ivan-Savitskiy,24,2
